frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
35,0,1733486204,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
36,0,1743489770,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
37,0,1753506155,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
38,0,1763495939,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
39,0,1773516487,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
40,0,1783513840,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
41,0,1793487102,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
42,0,1803501222,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
43,0,1813499214,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
44,0,1823498601,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
45,0,1833504337,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
46,0,1843500088,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
47,0,1853504314,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
48,0,1863502384,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
49,0,1873521320,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
50,0,1883536753,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
51,0,1893570268,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
52,0,1903568556,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
53,0,1913578748,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
54,0,1923576174,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
55,0,1933612647,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
56,0,1943588971,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
57,0,1953563103,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
58,0,1963600818,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
59,0,1973581577,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
60,0,1983537190,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
61,0,1993537034,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
62,0,2003554519,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
63,0,2013543453,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
64,0,2023560766,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
65,0,2033536199,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
66,0,2043495167,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
67,0,2053494682,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
68,0,2063509652,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
69,0,2073497337,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
70,0,2083492948,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
71,0,2093504497,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
72,0,2103515484,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
73,0,2113491639,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
74,0,2123516993,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
75,0,2133499497,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
76,0,2143526262,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
77,0,2153499827,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
78,0,2163479976,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
79,0,2173474566,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
80,0,2183470616,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
81,0,2193496002,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
82,0,2203480429,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
83,0,2213474140,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
84,0,2223479712,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
85,0,2233467072,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
86,0,2243481129,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
87,0,2253469765,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
88,0,2263459745,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
89,0,2273480606,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
90,0,2283482067,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
91,0,2293477500,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
92,0,2303472248,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
93,0,2313479541,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
94,0,2323502940,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
95,0,2333470032,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
96,0,2343470940,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
97,0,2353469260,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
98,0,2363487380,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
99,0,2373470772,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
100,0,2383470858,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
101,0,2393469630,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
102,0,2403486685,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
103,0,2413484346,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
104,0,2423475219,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
105,0,2433472453,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
106,0,2443471710,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
107,0,2453500232,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
108,0,2463452827,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
109,0,2473461667,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
110,0,2483465480,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
111,0,2493470829,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
112,0,2503468862,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
113,0,2513469592,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
114,0,2523470990,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
115,0,2533499812,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
116,0,2543474191,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
117,0,2553462306,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
118,0,2563470930,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
119,0,2573475838,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
120,0,2583477986,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
121,0,2593475197,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
122,0,2603480103,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
123,0,2613494022,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
124,0,2623506965,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
125,0,2633499935,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
126,0,2643498607,0.0,0.0,0.0,20.0,0.6104856729507446,14,200,0
