frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1,0,2111130497,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
10,0,2201014255,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
20,0,2300962892,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
30,0,2400913172,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
40,0,2500875660,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
50,0,2600880118,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
60,0,2700889597,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
70,0,2800908998,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
80,0,2900865502,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
90,0,3000883818,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
100,0,3100900504,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
110,0,3200876310,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
120,0,3300880929,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
130,0,3400889278,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
140,0,3500889786,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
150,0,3600856414,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
160,0,3700874253,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
170,0,3800840841,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
180,0,3900896957,0.0,0.0,0.0,10.0,0.5668795108795166,13,200,0
189,0,3990898013,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
198,0,4080852076,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
208,0,4180873536,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
218,0,4280876126,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
228,0,85936884,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
238,0,185917045,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
248,0,285910132,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
258,0,385910826,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
268,0,485912995,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
278,0,585900209,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
288,0,685904493,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
298,0,785899232,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
308,0,885909333,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
318,0,985897824,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
328,0,1085916179,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
338,0,1185930563,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
348,0,1285883819,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
358,0,1385892797,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
368,0,1485896811,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
378,0,1585907086,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
388,0,1685951603,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
398,0,1785890229,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
408,0,1885914098,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
418,0,1985907224,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
428,0,2085922929,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
438,0,2185946978,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
448,0,2285906132,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
458,0,2385893499,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
468,0,2485902563,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
478,0,2585916582,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
488,0,2685912190,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
498,0,2785898794,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
508,0,2885909695,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
518,0,2985881265,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
528,0,3085939725,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
538,0,3185892671,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
548,0,3285900192,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
558,0,3385885685,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
568,0,3485909808,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
578,0,3585899196,0.0,0.0,0.0,10.0,0.6104856729507446,14,200,0
588,0,3690301524,93.01507568359375,1.5502512454986572,5396.9296875,10.0,0.6104856729507446,14,200,1
598,0,3791651719,93.01507568359375,1.5502512454986572,2951.480224609375,10.0,0.6104856729507446,14,200,1
608,0,3891636433,93.02710723876953,1.5504517555236816,5303.74462890625,10.0,0.6104856729507446,14,200,1
618,0,3991613866,92.99101257324219,1.5498502254486084,5413.82080078125,10.0,0.6104856729507446,14,200,1
628,0,4091654353,92.99101257324219,1.5498502254486084,2914.627685546875,10.0,0.6104856729507446,14,200,1
638,0,4191658596,92.9789810180664,1.549649715423584,5865.802734375,10.0,0.6104856729507446,14,200,1
648,0,4291638133,93.01507568359375,1.5502512454986572,6156.78662109375,10.0,0.6104856729507446,14,200,1
658,0,96715733,92.9789810180664,1.549649715423584,4374.70361328125,10.0,0.6104856729507446,14,200,1
668,0,196684058,93.01507568359375,1.5502512454986572,4617.96826171875,10.0,0.6104856729507446,14,200,1
678,0,296819655,92.9789810180664,1.549649715423584,2885.48486328125,10.0,0.6104856729507446,14,200,1
688,0,396839816,92.9789810180664,1.549649715423584,1626.2523193359375,10.0,0.6104856729507446,14,200,1
698,0,496814900,92.9789810180664,1.549649715423584,2392.01416015625,10.0,0.6104856729507446,14,200,1
708,0,596714762,92.9789810180664,1.549649715423584,9553.3994140625,10.0,0.6104856729507446,14,200,1
718,0,696876124,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.6104856729507446,14,200,1
721,0,721117017,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
730,0,810997539,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
740,0,910987733,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
750,0,1010954967,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
760,0,1110931753,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
770,0,1210949081,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
780,0,1310967198,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
790,0,1410953103,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
800,0,1510947251,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
810,0,1610943776,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
820,0,1710943346,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
830,0,1810993393,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
840,0,1910944540,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
850,0,2010942898,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
860,0,2110932656,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
870,0,2210942606,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
880,0,2310954193,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
890,0,2410970342,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
900,0,2510935295,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
910,0,2610981954,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
920,0,2710945856,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
930,0,2810933074,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
940,0,2910943357,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
950,0,3010959716,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
960,0,3110984795,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
970,0,3210978254,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
980,0,3310950874,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
990,0,3410961644,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1000,0,3510977467,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1010,0,3610974546,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1020,0,3711096634,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1030,0,3811197667,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1040,0,3910970496,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1050,0,4011206162,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1060,0,4111168636,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1070,0,4210969498,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1080,0,15981604,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1090,0,116017520,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1100,0,215985295,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1110,0,316016421,93.5789794921875,1.5596497058868408,8174.6318359375,10.0,0.5668795108795166,13,200,0
1120,0,420368447,78.02411651611328,1.3004019260406494,8597.1845703125,10.0,0.5668795108795166,13,200,1
1130,0,521700028,77.98802185058594,1.2998003959655762,8466.3486328125,10.0,0.5668795108795166,13,200,1
1140,0,621705558,77.97599029541016,1.2995998859405518,8723.8359375,10.0,0.5668795108795166,13,200,1
1150,0,721681307,78.0120849609375,1.300201416015625,9111.8525390625,10.0,0.5668795108795166,13,200,1
1160,0,821681882,78.00005340576172,1.3000009059906006,8276.59765625,10.0,0.5668795108795166,13,200,1
1170,0,921746984,77.98802185058594,1.2998003959655762,7719.07373046875,10.0,0.5668795108795166,13,200,1
1180,0,1021697027,78.00005340576172,1.3000009059906006,8167.107421875,10.0,0.5668795108795166,13,200,1
1190,0,1121730219,78.00005340576172,1.3000009059906006,8248.767578125,10.0,0.5668795108795166,13,200,1
1200,0,1221757621,78.60005187988281,1.3100008964538574,7495.15966796875,10.0,0.5668795108795166,13,200,1
1210,0,1321644069,78.60005187988281,1.3100008964538574,2606.091796875,10.0,0.5668795108795166,13,200,1
1220,0,1421720927,78.60005187988281,1.3100008964538574,3028.5712890625,10.0,0.5668795108795166,13,200,1
1230,0,1521683899,78.60005187988281,1.3100008964538574,3539.7373046875,10.0,0.5668795108795166,13,200,1
1240,0,1621697283,78.00005340576172,1.3000009059906006,14804.775390625,10.0,0.5668795108795166,13,200,1
1250,0,1721660442,78.00005340576172,1.3000009059906006,8364.642578125,10.0,0.5668795108795166,13,200,1
1260,0,1821651135,78.00005340576172,1.3000009059906006,8422.365234375,10.0,0.5668795108795166,13,200,1
